Code,Index,2018,2019
FD4,Final demand,100,100
1,Farm products,0.893,0.807
11,"Fruits & melons, fresh/dry vegs. & nuts",0.526,0.447
111,Fresh fruits and melons,0.185,0.176
11101,Citrus fruits,0.041,0.036
11102,Other fruits and berries,0.128,0.121
11103,Melons,0.016,0.019
113,Fresh and dry vegetables,0.268,0.199
11301,Dry vegetables,0.007,0.008
11302,"Fresh vegetables, except potatoes",0.224,0.136
11303,Sweet potatoes,0.005,0.006
11306,Potatoes,0.032,0.049
119,Tree nuts,0.072,0.072
11901,Tree nuts,0.072,0.072
12,Grains,0.164,0.164
121,Wheat,0.037,0.034
12101,Wheat,0.037,0.034
122,Other grains,0.12,0.122
12201,Barley,0.002,0.002
12202,Corn,0.115,0.118
12203,Oats,0,0
12204,Rye,0,0
12205,Sorghum,0.002,0.002
123,Rough rice,0.007,0.007
12301,Rough rice,0.007,0.007
13,Slaughter livestock,0.006,0.007
132,Slaughter hogs,0.006,0.006
13201,Slaughter barrows and gilts,0.006,0.006
13202,Slaughter sows,0,0
133,Slaughter lambs,0,0
13301,Slaughter lambs,0,0
14,Slaughter poultry,0.004,0.004
141,Slaughter chickens,0.003,0.003
14102,Broilers and other meat type chickens,0.003,0.003
142,Slaughter turkeys,0.001,0.001
14201,Slaughter turkeys,0.001,0.001
143,Slaughter ducks,0,0
14301,Slaughter ducks,0,0
15,Raw cotton,0.029,0.023
151,Raw cotton,0.029,0.023
15101,Raw cotton,0.029,0.023
16,Raw milk,0.002,0.002
161,Raw milk,0.002,0.002
16101,Raw milk,0.002,0.002
17,Chicken eggs,0.065,0.061
171,Chicken eggs,0.065,0.061
17107,Eggs for fresh use,0.065,0.061
17108,Breaker stock and checks and undergrades,0,0
18,"Hay, hayseeds, and oilseeds",0.098,0.099
181,Hay and hayseeds,0.003,0.003
18101,Hay and hayseeds,0.003,0.003
183,Oilseeds,0.095,0.096
18301,Oilseeds,0.095,0.096
2,Processed foods and feeds,5.627,5.703
21,Cereal and bakery products,0.726,0.723
211,Bakery products,0.425,0.424
21102,"Bread (white, wheat, rye, etc.), including frozen",0.127,0.128
21105,"Rolls (bread-type), muffins, bagels, and croissants",0.091,0.09
21107,"Other sweet goods, excluding frozen",0.033,0.033
21108,"Soft cakes, excluding frozen",0.028,0.027
21109,"Pies (fruit, cream, and custard), excluding frozen",0.003,0.003
21121,"Cookies, crackers, and related products",0.107,0.106
21130,Retail bakery products,0.037,0.037
212,Flour and flour base mixes and doughs,0.113,0.112
21203,Wheat flour,0.031,0.03
21204,Flour base mixes and doughs,0.083,0.082
213,Milled rice and byproducts,0.032,0.033
21301,Head rice,0.027,0.027
21302,"Milled rice (incl second heads, screenings, brewers, bran, sharps, rice flour, and byproducts)",0.005,0.005
214,Cereal and pasta products,0.155,0.154
21402,"Dry macaroni, spaghetti, and egg noodle products, made from purchased flour",0.032,0.032
21409,"Cereal and mill products, other than flour",0.123,0.122
22,"Meats, poultry, and fish",1.296,1.359
221,Meats,0.832,0.87
22101,"Beef and veal products, fresh or frozen",0.38,0.369
